date,first_dose,second_dose,third_dose
2020-12-20,3736,0,0
2020-12-21,7580,0,0
2020-12-22,9074,0,0
2020-12-23,10083,0,0
2020-12-24,10433,0,0
2020-12-25,4502,0,0
2020-12-26,3376,0,0
2020-12-27,16958,0,0
2020-12-28,26879,0,0
2020-12-29,32581,0,0
2020-12-30,32387,0,0
2020-12-31,38751,0,0
2021-01-01,18809,0,0
2021-01-02,23589,0,0
2021-01-03,38644,0,0
2021-01-04,45867,0,0
2021-01-05,34864,0,0
2021-01-06,27555,0,0
2021-01-07,38319,0,0
2021-01-08,32468,0,0
2021-01-09,25627,0,0
2021-01-10,18322,3150,0
2021-01-11,10528,5948,0
2021-01-12,8991,7904,0
2021-01-13,16069,9655,0
2021-01-14,20734,10315,0
2021-01-15,11871,4007,0
2021-01-16,16535,2566,0
2021-01-17,36835,12760,0
2021-01-18,41235,23047,0
2021-01-19,50703,27361,0
2021-01-20,59414,29676,0
2021-01-21,52097,37830,0
2021-01-22,30722,17327,0
2021-01-23,29142,15033,0
2021-01-24,39920,36017,0
2021-01-25,40963,40224,0
2021-01-26,38849,36523,0
2021-01-27,39292,35114,0
2021-01-28,33932,41960,0
2021-01-29,17486,28376,0
2021-01-30,17620,21241,0
2021-01-31,32242,24998,0
2021-02-01,29720,16662,0
2021-02-02,26644,12716,0
2021-02-03,21292,16227,0
2021-02-04,21037,20723,0
2021-02-05,10426,11044,0
2021-02-06,6163,10994,0
2021-02-07,15560,36786,0
2021-02-08,15675,39962,0
2021-02-09,18227,46593,0
2021-02-10,19666,55646,0
2021-02-11,23796,53032,0
2021-02-12,11814,30278,0
2021-02-13,8575,23304,0
2021-02-14,23293,43854,0
2021-02-15,25582,41002,0
2021-02-16,25394,38011,0
2021-02-17,19525,36594,0
2021-02-18,22355,35470,0
2021-02-19,12773,18666,0
2021-02-20,10452,15427,0
2021-02-21,24916,35142,0
2021-02-22,26008,30322,0
2021-02-23,23283,26115,0
2021-02-24,18561,21868,0
2021-02-25,16570,20558,0
2021-02-26,8578,10660,0
2021-02-27,5744,6340,0
2021-02-28,12808,17260,0
2021-03-01,14275,16364,0
2021-03-02,12974,18085,0
2021-03-03,13074,18317,0
2021-03-04,12812,23092,0
2021-03-05,5907,12385,0
2021-03-06,3376,7904,0
2021-03-07,9535,22161,0
2021-03-08,8036,22894,0
2021-03-09,8036,23561,0
2021-03-10,6936,18053,0
2021-03-11,7188,22526,0
2021-03-12,3529,13601,0
2021-03-13,2560,8209,0
2021-03-14,5976,23470,0
2021-03-15,5957,24092,0
2021-03-16,5581,21338,0
2021-03-17,5280,17945,0
2021-03-18,4855,18711,0
2021-03-19,2245,9083,0
2021-03-20,1542,4914,0
2021-03-21,3664,12498,0
2021-03-22,3807,12413,0
2021-03-23,786,2374,0
2021-03-24,3283,13837,0
2021-03-25,2992,10833,0
2021-03-26,1259,4259,0
2021-03-27,485,1298,0
2021-03-28,583,1422,0
2021-03-29,2054,9403,0
2021-03-30,2132,6702,0
2021-03-31,2371,5963,0
2021-04-01,2449,5538,0
2021-04-02,893,2590,0
2021-04-03,374,877,0
2021-04-04,2746,6947,0
2021-04-05,2838,5912,0
2021-04-06,2546,4964,0
2021-04-07,2417,4634,0
2021-04-08,2791,5129,0
2021-04-09,1020,1901,0
2021-04-10,426,1044,0
2021-04-11,2416,3982,0
2021-04-12,2316,3622,0
2021-04-13,1651,1387,0
2021-04-14,1074,1603,0
2021-04-15,138,159,0
2021-04-16,948,2038,0
2021-04-17,213,549,0
2021-04-18,1930,1995,0
2021-04-19,1713,1841,0
2021-04-20,1814,1918,0
2021-04-21,1740,2035,0
2021-04-22,1782,2167,0
2021-04-23,807,975,0
2021-04-24,218,360,0
2021-04-25,1372,1895,0
2021-04-26,1461,2147,0
2021-04-27,1262,1873,0
2021-04-28,1244,1854,0
2021-04-29,1392,2026,0
2021-04-30,654,875,0
2021-05-01,123,233,0
2021-05-02,842,1569,0
2021-05-03,1004,1581,0
2021-05-04,966,1364,0
2021-05-05,978,1058,0
2021-05-06,980,776,0
2021-05-07,567,719,0
2021-05-08,48,108,0
2021-05-09,812,1149,0
2021-05-10,880,1215,0
2021-05-11,666,1078,0
2021-05-12,582,920,0
2021-05-13,536,993,0
2021-05-14,214,404,0
2021-05-15,49,50,0
2021-05-16,122,306,0
2021-05-17,74,215,0
2021-05-18,523,1358,0
2021-05-19,544,1310,0
2021-05-20,580,1043,0
2021-05-21,282,353,0
2021-05-22,36,120,0
2021-05-23,573,852,0
2021-05-24,509,1028,0
2021-05-25,540,710,0
2021-05-26,356,666,0
2021-05-27,466,725,0
2021-05-28,204,452,0
2021-05-29,51,42,0
2021-05-30,463,548,0
2021-05-31,417,549,0
2021-06-01,357,456,0
2021-06-02,376,398,0
2021-06-03,342,352,0
2021-06-04,211,192,0
2021-06-05,0,0,0
2021-06-06,266,195,0
2021-06-07,380,204,0
2021-06-08,268,301,0
2021-06-09,320,272,0
2021-06-10,326,299,0
2021-06-11,142,134,0
2021-06-12,31,0,0
2021-06-13,338,302,0
2021-06-14,393,390,0
2021-06-15,367,309,0
2021-06-16,342,266,0
2021-06-17,406,284,0
2021-06-18,162,124,0
2021-06-19,0,43,0
2021-06-20,394,401,0
2021-06-21,466,264,0
2021-06-22,481,323,0
2021-06-23,652,314,0
2021-06-24,718,312,0
2021-06-25,456,178,0
2021-06-26,124,33,0
2021-06-27,864,354,0
2021-06-28,977,331,0
2021-06-29,1096,369,0
2021-06-30,1136,330,0
2021-07-01,1220,333,0
2021-07-02,664,162,0
2021-07-03,238,58,0
2021-07-04,1272,372,0
2021-07-05,1413,411,0
2021-07-06,1359,459,0
2021-07-07,1402,312,0
2021-07-08,1381,412,0
2021-07-09,992,209,0
2021-07-10,476,96,0
2021-07-11,348,304,0
2021-07-12,430,270,0
2021-07-13,418,319,0
2021-07-14,392,286,0
2021-07-15,408,375,0
2021-07-16,174,242,0
2021-07-17,34,42,0
2021-07-18,287,320,0
2021-07-19,456,358,0
2021-07-20,365,364,0
2021-07-21,319,380,0
2021-07-22,420,536,0
2021-07-23,260,191,0
2021-07-24,86,86,0
2021-07-25,538,508,0
2021-07-26,606,499,0
2021-07-27,677,564,0
2021-07-28,511,516,0
2021-07-29,606,726,0
2021-07-30,363,466,0
2021-07-31,125,178,0
2021-08-01,320,144,0
2021-08-02,266,201,0
2021-08-03,344,221,0
2021-08-04,346,284,0
2021-08-05,452,302,0
2021-08-06,220,144,0
2021-08-07,74,64,0
2021-08-08,545,290,0
2021-08-09,543,332,0
2021-08-10,660,336,1014
2021-08-11,690,364,1188
2021-08-12,800,370,930
2021-08-13,380,240,714
2021-08-14,252,112,744
2021-08-15,844,484,5955
2021-08-16,978,560,6537
2021-08-17,1072,608,8940
2021-08-18,1062,610,7263
2021-08-19,1284,758,8418
2021-08-20,610,595,52543
2021-08-21,446,440,63096
2021-08-22,1538,1133,102669
2021-08-23,1728,1078,87232
2021-08-24,1694,1113,81124
2021-08-25,1686,939,64857
2021-08-26,1668,1020,68837
2021-08-27,690,522,41659
2021-08-28,496,358,23463
2021-08-29,1558,1045,44428
2021-08-30,1894,1200,44553
2021-08-31,1754,1090,40599
2021-09-01,1532,996,34199
2021-09-02,1517,1078,39885
2021-09-03,644,596,24224
2021-09-04,370,316,11516
2021-09-05,1225,764,20259
2021-09-06,542,332,7792
2021-09-07,120,147,2190
2021-09-08,194,144,2636
2021-09-09,1260,1504,27524
2021-09-10,580,682,15385
2021-09-11,254,317,6156
2021-09-12,1039,964,17273
2021-09-13,1121,1040,16251
2021-09-14,956,1025,18100
2021-09-15,335,416,7495
2021-09-16,67,69,714
2021-09-17,820,938,17827
2021-09-18,352,376,5586
2021-09-19,1186,1392,14893
2021-09-20,630,589,6022
2021-09-21,158,191,1323
2021-09-22,845,1098,9197
2021-09-23,978,1048,10906
2021-09-24,736,724,12157
2021-09-25,300,332,4561
2021-09-26,1186,1056,14428
2021-09-27,981,886,11985
2021-09-28,292,214,2402
2021-09-29,2395,1850,22547
2021-09-30,2974,1873,31527
2021-10-01,1695,887,19373
2021-10-02,854,494,9488
2021-10-03,3233,1616,25449
2021-10-04,2812,1574,17648
2021-10-05,2129,1095,13339
2021-10-06,1886,906,11140
2021-10-07,1896,973,11475
2021-10-08,886,548,6761
2021-10-09,334,200,2517
2021-10-10,1067,664,6508
2021-10-11,1058,575,5223
2021-10-12,892,570,4660
2021-10-13,762,394,3985
2021-10-14,895,413,5281
2021-10-15,406,320,3124
2021-10-16,145,132,1427
2021-10-17,735,470,4093
2021-10-18,542,306,2757
2021-10-19,505,224,2733
2021-10-20,529,337,2781
2021-10-21,723,401,3646
2021-10-22,308,274,1998
2021-10-23,106,82,786
2021-10-24,541,417,3029
2021-10-25,505,359,2382
2021-10-26,513,286,2503
2021-10-27,559,390,2305
2021-10-28,676,498,2666
2021-10-29,228,246,1344
2021-10-30,60,68,509
2021-10-31,500,469,2318
2021-11-01,350,403,1721
2021-11-02,414,434,1801
2021-11-03,408,384,1562
2021-11-04,474,491,2158
2021-11-05,244,224,1153
2021-11-06,66,48,341
2021-11-07,386,408,1817
2021-11-08,376,330,1425
2021-11-09,364,330,1470
2021-11-10,321,294,1377
2021-11-11,350,351,1690
2021-11-12,143,164,942
2021-11-13,38,46,318
2021-11-14,337,338,1547
2021-11-15,285,276,1287
2021-11-16,299,290,1326
2021-11-17,242,262,1041
2021-11-18,282,404,1517
2021-11-19,143,145,785
2021-11-20,31,0,273
2021-11-21,320,324,1491
2021-11-22,258,312,1156
2021-11-23,237,256,1176
2021-11-24,301,298,1147
2021-11-25,268,376,1496
2021-11-26,171,191,925
2021-11-27,72,66,326
2021-11-28,134,153,729
2021-11-29,142,125,662
2021-11-30,131,105,555
2021-12-01,123,109,622
2021-12-02,118,154,704
2021-12-03,80,72,419
2021-12-04,24,20,117
2021-12-05,129,135,598
2021-12-06,110,125,487
2021-12-07,127,136,509
2021-12-08,110,114,480
2021-12-09,106,133,645
2021-12-10,128,104,405
2021-12-11,15,28,163
2021-12-12,178,179,754
2021-12-13,108,115,553
2021-12-14,130,151,541
2021-12-15,150,148,679
2021-12-16,149,176,835
2021-12-17,105,93,507
2021-12-18,22,25,164
2021-12-19,119,170,767
2021-12-20,116,151,557
2021-12-21,246,296,1375
2021-12-22,109,164,598
2021-12-23,148,175,791
2021-12-24,137,123,574
2021-12-25,28,31,172
2021-12-26,185,233,870
2021-12-27,164,177,768
2021-12-28,205,229,911
2021-12-29,230,179,784
2021-12-30,174,202,1294
2021-12-31,0,0,68
2022-01-01,0,0,26
